"visit_id","aggregate_visit_id","visit_date","store_id","agent_master_id"
"3006693_1012444_20260721","850278191_20260721_3886","21.07.2026 0:00:00","850278191","3006693"
"3006693_1012444_20260723","850278191_20260723_3886","23.07.2026 0:00:00","850278191","3006693"
"3006693_1012444_20260728","850278191_20260728_3886","28.07.2026 0:00:00","850278191","3006693"
"3006693_1012444_20260730","850278191_20260730_3886","30.07.2026 0:00:00","850278191","3006693"
"3006693_1020328_20260702","850285524_20260702_3886","02.07.2026 0:00:00","850285524","3006693"
"3006693_1020328_20260707","850285524_20260707_3886","07.07.2026 0:00:00","850285524","3006693"
"3006693_1020328_20260716","850285524_20260716_3886","16.07.2026 0:00:00","850285524","3006693"
"3006693_1020328_20260721","850285524_20260721_3886","21.07.2026 0:00:00","850285524","3006693"
"3006693_1020328_20260723","850285524_20260723_3886","23.07.2026 0:00:00","850285524","3006693"
"3006693_1020328_20260730","850285524_20260730_3886","30.07.2026 0:00:00","850285524","3006693"
"3006693_1020576_20260707","850280528_20260707_3886","07.07.2026 0:00:00","850280528","3006693"
"3006693_1020576_20260709","850280528_20260709_3886","09.07.2026 0:00:00","850280528","3006693"
"3006693_1020576_20260714","850280528_20260714_3886","14.07.2026 0:00:00","850280528","3006693"
"3006693_1020576_20260716","850280528_20260716_3886","16.07.2026 0:00:00","850280528","3006693"
"3006693_1020576_20260721","850280528_20260721_3886","21.07.2026 0:00:00","850280528","3006693"
"3006693_1020576_20260723","850280528_20260723_3886","23.07.2026 0:00:00","850280528","3006693"
"3006693_1020576_20260728","850280528_20260728_3886","28.07.2026 0:00:00","850280528","3006693"
"3006693_1020576_20260730","850280528_20260730_3886","30.07.2026 0:00:00","850280528","3006693"
"3006693_1176093_20260702","850311919_20260702_3886","02.07.2026 0:00:00","850311919","3006693"
"3006693_1176093_20260707","850311919_20260707_3886","07.07.2026 0:00:00","850311919","3006693"
"3006693_1176093_20260708","850311919_20260708_3886","08.07.2026 0:00:00","850311919","3006693"
"3006693_1176093_20260716","850311919_20260716_3886","16.07.2026 0:00:00","850311919","3006693"
